카테고리,항목,완료,비고
물리적 환경,몰입 시간 중 iPhone 다른 방에 두기,,물리적 거리 = 최강 마찰
물리적 환경,충전기를 현관/거실에 설치,,작업 공간에서 핸드폰 분리
물리적 환경,책상 위 현재 읽는 책/노트북만 두기,,시야 내 물체 3-5개 이하
물리적 환경,"몰입 중" 표시판 문에 붙이기,,사회적 계약으로 인터럽션 방지
iPhone 설정,TikTok/Instagram/YouTube 앱 삭제,,스크린타임 차단은 우회 가능
iPhone 설정,Safari에서만 SNS 접근,,앱 없이 웹으로 = 알림 없음
iPhone 설정,One Sec 앱 설치 및 설정,,앱 열 때마다 강제 숨쉬기 10초
iPhone 설정,스크린타임 SNS 30분 제한 + 암호 설정,,본인이 모르는 암호로
iPhone 설정,그레이스케일 자동화 (오후 6시),,시각적 보상 제거
Mac 설정,Cold Turkey Blocker 설치,,Frozen 모드 = 해제 불가
Mac 설정,Focus 모드 "딥워크" 생성,,오전 9-12시 + 오후 2-6시
Mac 설정,Unhook 확장 프로그램 설치,,유튜브 추천/홈페이지 숨김
시간 규칙,기상 후 1시간 핸드폰 금지,,아침 도파민 스파이크 방지
시간 규칙,오전 딥워크 블록 (9:00-12:00),,핸드폰 다른 방 + Mac 차단
시간 규칙,점심 후 도파민 허용 (12:30-13:00),,30분만 통제된 허용
시간 규칙,오후 딥워크 블록 (14:00-18:00),,긴 콘텐츠 시청 시간
시간 규칙,저녁 6시 이후 그레이스케일,,도파민 기준선 회복
시간 규칙,취침 1시간 전 모든 스크린 OFF,,수면 질 보호
회복 프로토콜,1-3일: 금단 증상 예상,,정상 반응 - 뇌가 재조정 중
회복 프로토콜,4-7일: 저자극 콘텐츠 재미 회복,,도파민 수용체 민감도 회복
회복 프로토콜,2주 후: 책/영화 몰입 가능,,새로운 기준선 형성
대안 행동,책상 위 책 1권 배치,,지루함 → 독서 루프
대안 행동,스케치북/노트 배치,,지루함 → 창작 루프
대안 행동,물병 배치,,지루함 → 수분 섭취
대안 행동,유혹 묶기: 영화 + 좋아하는 간식,,긴 콘텐츠에 보상 결합
